#time	SIM_10/	SIM_15/	SIM_20/	SIM_5/
387.60	64.20	129.00	145.60	26.80
388.20	73.30	114.60	141.70	27.90
388.80	75.30	131.50	140.90	37.00
389.40	75.50	125.70	141.20	34.80
390.00	74.60	121.00	145.00	48.30
390.60	67.30	128.60	142.10	54.30
391.20	63.90	122.40	143.20	54.30
391.80	74.60	118.30	154.60	51.10
392.40	61.10	131.80	149.20	51.40
393.00	66.50	129.10	126.30	52.00
393.60	69.60	123.10	123.00	41.80
394.20	61.40	130.10	131.30	44.50
394.80	67.60	129.20	128.50	36.90
395.40	60.60	127.70	135.70	38.30
396.00	44.30	137.80	133.90	34.40
396.60	66.70	150.30	125.50	41.10
397.20	73.30	142.80	136.50	38.80
397.80	70.70	133.40	138.40	33.00
398.40	67.40	133.80	139.10	26.30
399.00	68.50	140.50	134.50	34.40
399.60	69.60	145.60	142.50	20.50
400.20	72.30	136.00	148.00	23.50
400.80	63.10	132.60	133.50	26.90
401.40	71.00	133.80	148.30	14.50
402.00	65.10	128.10	135.60	16.70
402.60	61.40	133.30	132.10	32.40
403.20	57.60	137.20	134.70	25.40
403.80	70.40	137.20	143.20	29.70
404.40	69.50	150.50	141.20	36.50
405.00	72.60	143.30	127.70	29.50
405.60	72.30	143.10	132.20	22.30
406.20	59.30	143.00	145.40	36.70
406.80	65.70	125.00	149.40	39.90
407.40	72.40	128.50	135.10	25.90
408.00	76.60	125.60	132.00	43.60
408.60	75.90	132.50	145.80	37.80
409.20	72.90	119.50	151.40	33.00
409.80	63.20	126.00	144.10	32.40
410.40	68.00	129.20	145.50	39.80
411.00	84.90	120.30	144.30	42.80
411.60	78.10	130.50	138.40	36.50
412.20	63.60	135.80	130.20	23.10
412.80	67.10	136.10	130.80	32.60
413.40	76.10	128.80	126.70	30.90
414.00	79.70	115.70	138.00	35.70
414.60	81.70	119.50	130.70	35.40
415.20	74.40	132.10	123.60	39.60
