#time	SIM_5_5/
623.40	129.20
624.00	123.40
624.60	121.30
625.20	134.60
625.80	149.50
626.40	146.60
627.00	138.40
627.60	138.60
628.20	137.50
628.80	124.50
629.40	130.90
630.00	127.30
630.60	120.80
631.20	138.30
631.80	121.30
632.40	118.50
633.00	129.90
633.60	124.50
634.20	123.00
634.80	111.60
635.40	112.30
636.00	124.70
636.60	127.00
637.20	115.80
637.80	122.80
638.40	128.70
639.00	140.80
639.60	146.20
640.20	142.70
640.80	151.60
641.40	142.20
642.00	137.80
642.60	144.70
643.20	155.50
643.80	157.50
644.40	141.30
645.00	138.90
645.60	141.80
646.20	143.20
646.80	143.80
647.40	144.20
648.00	144.60
648.60	139.50
649.20	142.00
649.80	148.30
650.40	138.90
651.00	137.70
651.60	134.00
652.20	130.50
652.80	143.20
653.40	156.80
654.00	153.80
654.60	143.70
655.20	150.30
655.80	145.40
656.40	138.40
657.00	138.10
657.60	133.20
658.20	142.00
658.80	140.90
659.40	144.60
660.00	151.10
660.60	141.80
661.20	129.90
661.80	120.70
662.40	117.20
663.00	118.10
663.60	129.00
664.20	127.60
664.80	120.20
665.40	117.00
666.00	115.90
666.60	111.10
667.20	111.80
667.80	117.80
668.40	111.50
669.00	104.00
669.60	91.40
670.20	100.60
670.80	103.40
671.40	85.40
672.00	97.40
672.60	99.50
673.20	94.70
673.80	95.80
674.40	107.10
675.00	100.70
675.60	97.90
676.20	113.00
676.80	106.10
677.40	122.80
678.00	122.60
678.60	122.80
679.20	130.10
679.80	124.30
680.40	138.20
681.00	128.90
681.60	130.40
682.20	126.90
682.80	128.80
683.40	135.10
684.00	130.80
684.60	128.90
685.20	134.10
685.80	135.40
686.40	131.30
687.00	133.70
687.60	136.20
688.20	129.20
688.80	138.40
689.40	130.00
690.00	131.00
690.60	137.90
691.20	133.20
691.80	130.30
692.40	118.70
693.00	119.50
693.60	140.90
694.20	149.80
694.80	140.30
695.40	135.50
696.00	129.90
696.60	121.80
697.20	120.80
697.80	118.80
698.40	127.90
699.00	134.20
699.60	122.90
700.20	137.70
700.80	132.50
701.40	127.60
702.00	129.30
702.60	131.40
703.20	127.60
703.80	114.70
704.40	121.50
705.00	114.20
705.60	108.10
706.20	107.10
706.80	116.90
707.40	116.00
708.00	108.60
708.60	99.40
709.20	115.10
709.80	110.40
710.40	120.10
711.00	114.80
711.60	125.00
712.20	120.20
712.80	126.90
713.40	135.60
714.00	138.10
714.60	119.90
715.20	110.00
715.80	95.00
716.40	102.40
717.00	99.00
717.60	96.30
718.20	106.20
718.80	106.40
719.40	109.50
720.00	124.00
720.60	114.80
721.20	100.40
721.80	78.90
722.40	61.60
723.00	56.70
723.60	53.20
724.20	53.90
724.80	58.30
725.40	66.10
726.00	57.30
726.60	64.60
727.20	62.30
727.80	68.90
728.40	74.30
729.00	78.90
729.60	80.30
730.20	62.10
730.80	57.90
731.40	61.00
732.00	73.40
732.60	67.60
733.20	73.10
733.80	80.60
734.40	79.60
735.00	75.50
735.60	84.20
736.20	98.50
736.80	82.90
737.40	73.60
738.00	62.80
738.60	60.80
739.20	84.40
739.80	87.30
740.40	100.40
741.00	104.10
741.60	98.40
742.20	93.10
742.80	95.90
743.40	96.60
744.00	92.60
744.60	89.80
745.20	82.90
745.80	91.90
746.40	109.40
747.00	108.30
747.60	84.40
748.20	105.80
748.80	115.50
749.40	108.60
750.00	103.30
750.60	106.30
751.20	99.70
751.80	90.40
752.40	100.10
753.00	112.80
753.60	110.90
754.20	106.60
754.80	91.20
755.40	95.50
756.00	88.10
756.60	79.10
757.20	70.80
757.80	80.70
758.40	69.10
759.00	72.20
759.60	84.10
760.20	89.60
760.80	78.80
761.40	82.70
762.00	86.50
762.60	79.00
763.20	76.50
763.80	61.90
764.40	65.90
765.00	52.70
765.60	60.30
766.20	80.70
766.80	72.60
767.40	75.50
768.00	63.90
768.60	64.30
769.20	80.70
