#time	SIM_7.5_0/
907.80	170.90
908.40	167.60
909.00	176.00
909.60	162.40
910.20	165.90
910.80	167.50
911.40	183.60
912.00	201.80
912.60	194.90
913.20	192.20
913.80	183.90
914.40	193.60
915.00	206.40
915.60	202.10
916.20	190.90
916.80	195.10
917.40	197.00
918.00	184.00
918.60	190.10
919.20	182.10
919.80	168.10
920.40	158.70
921.00	166.40
921.60	171.20
922.20	162.40
922.80	152.80
923.40	161.70
924.00	136.20
924.60	155.40
925.20	160.70
925.80	158.00
926.40	143.90
927.00	146.70
927.60	144.50
928.20	149.90
928.80	151.70
929.40	140.90
930.00	132.00
930.60	157.90
931.20	163.50
931.80	157.00
932.40	156.20
933.00	169.40
933.60	161.50
934.20	178.40
934.80	173.50
935.40	183.00
936.00	184.30
936.60	178.50
937.20	179.00
937.80	173.80
938.40	174.90
939.00	176.00
939.60	172.00
940.20	180.20
940.80	189.60
941.40	180.70
942.00	165.50
942.60	190.20
943.20	177.90
943.80	174.10
944.40	163.80
945.00	163.30
945.60	162.50
946.20	163.60
946.80	166.50
947.40	168.80
948.00	172.30
948.60	183.20
949.20	186.80
949.80	186.50
950.40	193.00
951.00	184.70
951.60	182.30
952.20	186.80
952.80	186.10
953.40	169.70
954.00	180.60
954.60	184.10
955.20	169.20
955.80	178.70
956.40	169.20
957.00	180.50
957.60	176.40
958.20	176.00
958.80	175.80
959.40	176.40
960.00	181.10
960.60	177.50
961.20	170.50
961.80	164.00
962.40	168.10
963.00	155.70
963.60	157.70
964.20	154.20
964.80	161.00
965.40	154.90
966.00	153.40
966.60	146.00
967.20	144.50
967.80	145.20
968.40	134.30
969.00	130.40
969.60	143.30
970.20	139.60
970.80	144.80
971.40	162.80
972.00	168.10
972.60	158.00
973.20	163.00
973.80	157.90
974.40	160.70
975.00	163.90
975.60	169.40
976.20	164.90
976.80	175.60
977.40	174.60
978.00	164.80
978.60	153.50
979.20	147.00
979.80	150.80
980.40	159.80
981.00	155.70
981.60	146.70
982.20	156.60
982.80	168.00
983.40	170.20
984.00	170.00
984.60	189.40
985.20	191.40
985.80	190.20
986.40	182.90
987.00	186.60
987.60	173.30
988.20	169.70
988.80	168.80
989.40	171.30
990.00	169.80
990.60	166.50
991.20	166.60
991.80	169.20
992.40	149.50
993.00	164.60
993.60	174.20
994.20	167.30
994.80	169.40
995.40	167.50
996.00	165.10
996.60	154.60
997.20	149.90
997.80	148.10
998.40	159.30
999.00	159.30
999.60	169.10
1000.20	155.20
1000.80	161.70
1001.40	152.30
1002.00	159.70
1002.60	169.60
1003.20	155.60
1003.80	158.80
1004.40	150.90
1005.00	148.90
1005.60	158.40
1006.20	141.60
1006.80	132.80
1007.40	146.00
1008.00	133.70
1008.60	134.90
1009.20	134.40
1009.80	138.40
1010.40	142.20
1011.00	155.40
1011.60	156.80
1012.20	160.20
1012.80	155.40
1013.40	155.60
1014.00	157.80
1014.60	148.80
1015.20	151.80
1015.80	152.30
1016.40	145.40
1017.00	146.40
1017.60	143.70
1018.20	142.40
1018.80	136.40
1019.40	125.10
1020.00	135.80
1020.60	134.50
1021.20	131.50
1021.80	138.70
1022.40	149.00
1023.00	141.90
1023.60	132.90
1024.20	149.90
1024.80	163.60
1025.40	156.70
1026.00	156.60
1026.60	146.00
1027.20	153.00
1027.80	152.70
1028.40	169.50
1029.00	165.30
1029.60	160.80
1030.20	156.40
1030.80	141.00
1031.40	138.10
1032.00	137.80
1032.60	157.10
1033.20	133.30
1033.80	116.20
1034.40	110.10
1035.00	108.50
1035.60	117.70
1036.20	115.30
1036.80	121.40
1037.40	120.70
1038.00	125.30
1038.60	143.70
1039.20	141.10
